datetime,junction,vehicles,avg_speed_kmph,congestion_level
2024-01-01 00:00:00,4,66,58,Low
2024-01-01 01:00:00,4,42,51,Low
2024-01-01 02:00:00,3,66,52,Low
2024-01-01 03:00:00,4,27,61,Low
2024-01-01 04:00:00,2,60,58,Low
2024-01-01 05:00:00,3,79,60,Low
2024-01-01 06:00:00,4,52,40,Low
2024-01-01 07:00:00,2,269,10,High
2024-01-01 08:00:00,2,305,19,High
2024-01-01 09:00:00,4,321,23,High
2024-01-01 10:00:00,3,347,15,High
2024-01-01 11:00:00,2,106,32,Medium
2024-01-01 12:00:00,2,118,37,Medium
2024-01-01 13:00:00,2,148,39,Medium
2024-01-01 14:00:00,4,198,30,Medium
2024-01-01 15:00:00,1,162,33,Medium
2024-01-01 16:00:00,3,195,32,Medium
2024-01-01 17:00:00,1,257,11,High
2024-01-01 18:00:00,3,285,14,High
2024-01-01 19:00:00,3,256,15,High
2024-01-01 20:00:00,4,316,20,High
2024-01-01 21:00:00,1,24,47,Low
2024-01-01 22:00:00,2,51,56,Low
2024-01-01 23:00:00,3,71,63,Low
2024-01-02 00:00:00,1,52,43,Low
2024-01-02 01:00:00,3,88,43,Low
2024-01-02 02:00:00,1,52,54,Low
2024-01-02 03:00:00,4,44,50,Low
2024-01-02 04:00:00,2,57,64,Low
2024-01-02 05:00:00,1,70,60,Low
2024-01-02 06:00:00,4,64,57,Low
2024-01-02 07:00:00,4,205,19,High
2024-01-02 08:00:00,3,289,22,High
2024-01-02 09:00:00,3,237,24,High
2024-01-02 10:00:00,1,300,10,High
2024-01-02 11:00:00,2,156,27,Medium
2024-01-02 12:00:00,2,115,29,Medium
2024-01-02 13:00:00,2,185,33,Medium
2024-01-02 14:00:00,3,142,35,Medium
2024-01-02 15:00:00,2,134,38,Medium
2024-01-02 16:00:00,4,176,30,Medium
2024-01-02 17:00:00,1,213,25,High
2024-01-02 18:00:00,2,318,20,High
2024-01-02 19:00:00,2,271,16,High
2024-01-02 20:00:00,1,297,21,High
2024-01-02 21:00:00,3,34,54,Low
2024-01-02 22:00:00,3,89,51,Low
2024-01-02 23:00:00,2,23,48,Low
2024-01-03 00:00:00,1,94,51,Low
2024-01-03 01:00:00,3,58,46,Low
2024-01-03 02:00:00,2,100,58,Low
2024-01-03 03:00:00,2,49,50,Low
2024-01-03 04:00:00,3,27,65,Low
2024-01-03 05:00:00,2,81,62,Low
2024-01-03 06:00:00,2,60,53,Low
2024-01-03 07:00:00,2,238,13,High
2024-01-03 08:00:00,3,282,11,High
2024-01-03 09:00:00,3,287,15,High
2024-01-03 10:00:00,1,323,23,High
2024-01-03 11:00:00,1,143,39,Medium
2024-01-03 12:00:00,3,100,29,Medium
2024-01-03 13:00:00,4,173,29,Medium
2024-01-03 14:00:00,1,165,33,Medium
2024-01-03 15:00:00,3,102,28,Medium
2024-01-03 16:00:00,3,140,25,Medium
2024-01-03 17:00:00,3,310,10,High
2024-01-03 18:00:00,2,329,13,High
2024-01-03 19:00:00,4,284,23,High
2024-01-03 20:00:00,3,227,18,High
2024-01-03 21:00:00,3,37,55,Low
2024-01-03 22:00:00,3,32,54,Low
2024-01-03 23:00:00,4,97,60,Low
2024-01-04 00:00:00,3,67,61,Low
2024-01-04 01:00:00,1,82,56,Low
2024-01-04 02:00:00,4,53,54,Low
2024-01-04 03:00:00,2,94,49,Low
2024-01-04 04:00:00,4,78,59,Low
2024-01-04 05:00:00,1,21,40,Low
2024-01-04 06:00:00,3,44,40,Low
2024-01-04 07:00:00,2,320,25,High
2024-01-04 08:00:00,4,233,23,High
2024-01-04 09:00:00,3,206,12,High
2024-01-04 10:00:00,1,325,23,High
2024-01-04 11:00:00,3,181,26,Medium
2024-01-04 12:00:00,3,152,39,Medium
2024-01-04 13:00:00,4,106,29,Medium
2024-01-04 14:00:00,3,170,28,Medium
2024-01-04 15:00:00,4,150,32,Medium
2024-01-04 16:00:00,2,123,25,Medium
2024-01-04 17:00:00,1,239,25,High
2024-01-04 18:00:00,4,284,21,High
2024-01-04 19:00:00,1,316,15,High
2024-01-04 20:00:00,1,330,20,High
2024-01-04 21:00:00,4,97,63,Low
2024-01-04 22:00:00,3,54,64,Low
2024-01-04 23:00:00,4,54,50,Low
2024-01-05 00:00:00,2,35,46,Low
2024-01-05 01:00:00,3,23,46,Low
2024-01-05 02:00:00,2,26,49,Low
2024-01-05 03:00:00,4,99,44,Low
2024-01-05 04:00:00,4,87,49,Low
2024-01-05 05:00:00,1,42,47,Low
2024-01-05 06:00:00,3,77,62,Low
2024-01-05 07:00:00,1,214,21,High
2024-01-05 08:00:00,4,252,16,High
2024-01-05 09:00:00,4,232,17,High
